city,client_event_time,country,device_carrier,device_family,device_type,event_type,language,os_name,os_version,platform,user_id,plan.price,paid_amount,coupon.discount_amount,pg.type
Nowon-gu,2023-04-05 21:40:04.000000,South Korea,,Windows,Windows,complete.subscription,Korean,Edge,111.0.1661.62,Web,1116a2ae90ca6b06f85feba27ad51ef0,15920,15920,0,
Seoul,2023-04-10 14:20:03.008000,South Korea,,Apple iPhone,Apple iPhone,complete.subscription,Korean,Mobile Safari,16.3,Web,c0f5678df8967163e6e2c464ed006791,131600,131600,0,
Yangsan,2023-03-12 08:46:14.026000,South Korea,,Windows,Windows,complete.subscription,Korean,Chrome,111.0.0.0,Web,79421b5d038205ad7adbb1e2c3b89741,131600,119756,11844,
Geumjeong-gu,2023-04-12 11:35:01.865000,South Korea,,Windows,Windows,complete.subscription,Korean,Chrome,111.0.0.0,Web,bdffe1f18684704d4ea2d7eebcaed180,131600,131600,0,
Gwangmyeong,2023-05-31 01:25:55.820000,South Korea,,Mac,Mac,complete.subscription,Korean,Chrome,113.0.0.0,Web,d4f54ecf6c4d7bf8742f80505f02d6dc,15920,15920,0,
Seocho-gu,2023-05-31 01:27:05.914000,South Korea,,Windows,Windows,complete.subscription,Korean,Chrome,113.0.0.0,Web,ac7c3298f6afc990333b9dbf937f2378,15920,15920,0,
Gyeonggi-do,2023-01-31 14:44:19.644000,South Korea,,Samsung Phone,Samsung Galaxy S21+ 5G,complete.subscription,Korean,Samsung Browser,19.0,Web,81cedbb74a6400b881a77694831102d9,95200,95200,0,
Sangju,2023-01-31 14:27:53.465000,South Korea,,Windows,Windows,complete.subscription,Korean,Chrome,109.0.0.0,Web,db0e90b2ae46d565e7f182d5202b8737,95200,95200,0,
Gangnam-gu,2023-01-31 14:24:46.377000,South Korea,,Samsung Phone,Samsung Galaxy S22,complete.subscription,Korean,Chrome WebView,108.0.5359.128,Web,4a267eba2e65ee24be66c3da88316f20,95200,95200,0,
Songpa-gu,2023-01-31 14:10:20.700000,South Korea,,Windows,Windows,complete.subscription,Korean,Chrome,109.0.0.0,Web,99a9f26d820203528cfd7cb0bfce0e2a,95200,95200,0,
Suwon,2023-01-31 14:10:21.523000,South Korea,,Samsung Galaxy Phone,Samsung Galaxy S21 Ultra 5G,complete.subscription,Korean,Chrome WebView,109.0.5414.85,Web,2cee14cb49884f70132463175c487f16,95200,95200,0,
Seoul,2023-01-31 14:28:48.535000,South Korea,,Apple iPhone,Apple iPhone,complete.subscription,Korean,Mobile Safari,16.3,Web,1d700adf0b083f82412d793110ae2b0e,95200,95200,0,
Dobong-gu,2023-01-31 14:36:12.516000,South Korea,,Windows,Windows,complete.subscription,Korean,Chrome,109.0.0.0,Web,dec51e74352c460cf2046179c1612a3a,95200,95200,0,
Gyeongju,2023-01-31 14:45:39.811000,South Korea,,Samsung Phone,Samsung Galaxy S9+,complete.subscription,Korean,Samsung Browser,19.0,Web,787107d4e71543a14a42a51722dbbc08,95200,95200,0,
,2023-01-31 14:43:33.096000,,,,,complete.subscription,,,,,3bbcda0eb294f42fa32efacbc743108a,95200,95200,0,
Siheung-si,2023-01-31 14:41:07.239000,South Korea,,Windows,Windows,complete.subscription,Korean,Edge,109.0.1518.70,Web,9acbe879085df1effc53b755844324d0,95200,95200,0,
Seoul,2023-01-31 14:32:03.997000,South Korea,,Windows,Windows,complete.subscription,Korean,Edge,109.0.1518.70,Web,a5fd40a24491330435228dfd45f3882c,95200,95200,0,
Guro-gu,2023-01-31 14:54:09.174000,South Korea,,Apple iPhone,Apple iPhone,complete.subscription,Korean,Mobile Safari,15.5,Web,d72b049183fa1082771390d40dd6f3ef,95200,95200,0,
Seoul,2023-01-31 14:38:27.840000,South Korea,,Apple iPhone,Apple iPhone,complete.subscription,Korean,WebKit,605.1.15,Web,d8253708336a86acf7d1aacbd7be2408,95200,95200,0,
Bupyeong-gu,2023-01-31 14:48:49.835000,South Korea,,Windows,Windows,complete.subscription,Korean,Edge,109.0.1518.70,Web,9393c8b03cfa45f7bdf9fcf2f3f8081b,95200,95200,0,
Seoul,2023-01-31 14:54:02.575000,South Korea,,Apple iPhone,Apple iPhone,complete.subscription,Korean,Mobile Safari,16.1,Web,8f258b2290100e5dd4da53f8beed8608,95200,95200,0,
Seoul,2023-01-31 14:29:02.704000,South Korea,,Apple iPhone,Apple iPhone,complete.subscription,Korean,Mobile Safari,15.6,Web,7b4e99a51540fb379312774da76e17d3,95200,95200,0,
Hwaseong-si,2023-01-31 14:31:32.995000,South Korea,,Windows,Windows,complete.subscription,Korean,Chrome,109.0.0.0,Web,7b9643d4aee131a962bbb256730c3d5b,95200,95200,0,
Gimhae,2023-01-31 14:36:59.053000,South Korea,,Samsung Phone,Samsung Galaxy Z Flip4,complete.subscription,Korean,Samsung Browser,19.0,Web,08488d882a77ee36f78d01abbad76e2b,95200,95200,0,
Jung-gu,2023-01-31 14:13:10.622000,South Korea,,LG LM-V409N,,complete.subscription,Korean,Chrome,109.0.0.0,Web,7db002173092812a2be481b7587eaab7,95200,95200,0,
Seongdong-gu,2023-01-31 14:52:45.023000,South Korea,,Apple iPhone,Apple iPhone,complete.subscription,Korean,Mobile Safari,16.0,Web,ddfb452968d0ba45b6062e75c3935126,95200,95200,0,
Yangju,2023-01-31 14:10:34.939000,South Korea,,Apple iPhone,Apple iPhone,complete.subscription,Korean,Mobile Safari,16.1,Web,9e8460b45b379b780cb3a3c6fbf32170,95200,95200,0,
Seoul,2023-01-31 14:35:05.767000,South Korea,,Apple iPhone,Apple iPhone,complete.subscription,Korean,Mobile Safari,16.3,Web,8d78b7e792632a9eb67010054e83a165,95200,95200,0,
Gwanak-gu,2023-01-31 14:50:34.686000,South Korea,,Windows,Windows,complete.subscription,Korean,Chrome,109.0.0.0,Web,3204e2dd172e5db430aa7f25127a4f2c,95200,95200,0,
Gangbuk-gu,2023-01-31 14:21:18.911000,South Korea,,Windows,Windows,complete.subscription,Korean,Chrome,109.0.0.0,Web,a08481d0bbb4a142ccfcc1f93b10e397,95200,95200,0,
Gwanak-gu,2023-01-31 14:34:06.595000,South Korea,,Apple iPhone,Apple iPhone,complete.subscription,Korean,WebKit,605.1.15,Web,4709e953b2860f2186de7741f3e6f076,95200,95200,0,
Seodaemun-gu,2023-01-31 14:19:19.369000,South Korea,,Samsung Phone,Samsung Galaxy Z Flip3 5G,complete.subscription,Korean,Whale,1.0.0.0,Web,abd3cb4487b5eb077aaf27397235826d,95200,95200,0,
Buk-gu,2023-01-31 14:11:31.739000,South Korea,,Samsung Phone,Samsung Galaxy S20 5G,complete.subscription,Korean,Chrome,109.0.0.0,Web,b07c5a14a775d6e3f8cc215bb6f2c9c7,95200,95200,0,
Gunpo,2023-01-31 14:34:07.215000,South Korea,,Mac,Mac,complete.subscription,Korean,Safari,15.5,Web,e167c8ced33ab8205ccc7dc3d4ce3579,95200,95200,0,
