city,client_event_time,country,device_carrier,device_family,device_type,event_type,language,os_name,os_version,platform,user_id,plan.price,paid_amount,coupon.discount_amount,pg.type
Nam-gu,2022-09-08 03:05:02.068,South Korea,,Windows,Windows,renew.subscription,Korean,Edge,104,Web,6ddea3af2eaae869861c1190dcc9d4a3,15920,15920,0,
Nam-gu,2022-09-08 03:40:02.050,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,c2d47034960fdff5df495822ff66fbc1,15920,15920,0,
Dongjak-gu,2022-09-08 03:49:00.829,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,de91f1226dd938990fefc79545daf468,42960,40812,2148,
Yongin-si,2022-09-08 04:10:06.406,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,bf14840a8cb4643e6d557da96e35a3af,15920,15920,0,
Dongjak-gu,2022-09-08 04:40:01.895,South Korea,,Android,Android,renew.subscription,Korean,Chrome Mobile,103,Web,7ddc1c2990d0645d82885394e3c518b5,15920,15920,0,
Yangcheon-gu,2022-09-08 05:10:01.955,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,85822a1663cebc3351e24c25f8c02552,15920,7960,7960,
Dongdaemun-gu,2022-09-08 06:45:01.589,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,47a7b82262e14f30c6ee06a314004714,15920,15920,0,
Gangnam-gu,2022-09-08 06:45:05.980,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,102,Web,d8e3205c18c9e436e37994dadd604a73,15920,15920,0,
Gangwon-do,2022-09-08 06:47:02.016,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,105,Web,cce04d49260614dcb65b3f3bde7cc4b6,15920,14487,1433,
Buk-gu,2022-09-08 07:15:01.004,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,105,Web,19e512a7f43998e40ef164887b5a55bc,42960,42960,0,
Gangnam-gu,2022-09-08 07:15:01.311,South Korea,,Mac,Mac,renew.subscription,Korean,Chrome,104,Web,cce98fec2181a37e99f0773625282c5e,15920,15920,0,
Cheongju-si,2022-09-08 07:15:01.994,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,f86ca0f3da4b3f1ee56cf3e07fac88c7,15920,15920,0,
Ansan-si,2022-09-08 08:22:07.680,South Korea,,Apple iPhone,Apple iPhone,renew.subscription,Korean,Mobile Safari,15,Web,691af17c8d639f8d3b71f7b7f15d677c,15920,15920,0,
Seodaemun-gu,2022-09-08 08:50:01.799,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,51b4e161102a045608dc543a36e7cf4e,15920,15920,0,
Gimpo-si,2022-09-08 08:50:02.200,South Korea,,Mac,Mac,renew.subscription,Korean,Chrome,105,Web,a2314d5bbd5327648c1d13e54b132b2a,15920,15920,0,
Dongjak-gu,2022-09-08 09:20:01.629,South Korea,,Mac,Mac,renew.subscription,Korean,Chrome,104,Web,05f80ca8e3910d7689e9bfa1f7a5788d,15920,15920,0,
Seongbuk-gu,2022-09-08 10:30:01.530,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,227bc28cdf48306f627fcdd9dd032353,15920,15920,0,
Mapo-gu,2022-09-08 10:30:01.708,South Korea,,Mac,Mac,renew.subscription,English,Chrome,102,Web,e35fa9d953a01a2e031ced41f684dd40,42960,42960,0,
Jeju City,2022-09-08 11:00:01.634,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,782d8bafdd276b9149b47c68873a61d9,131600,131600,0,
,2022-09-08 11:00:05.273,,,,,renew.subscription,,,,,c0622245542a45ca8620d96821cd4027,15920,15920,0,
Cheonan,2022-09-08 12:00:01.585,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,102,Web,6e55c6db8822a47b62218e6b5cc17c64,15920,15920,0,
Jung-gu,2022-09-08 12:35:01.683,South Korea,,Android,Android,renew.subscription,Korean,Chrome,104,Web,62a95b5abee32ca73d09a90f5e202c3b,15920,15920,0,
Mapo-gu,2022-09-08 13:05:02.175,South Korea,,Windows,Windows,renew.subscription,Korean,Edge,104,Web,f935f006cd6b77b177f43c2d0c696239,15920,15920,0,
Gwangjin-gu,2022-09-08 13:35:02.586,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,105,Web,a89c371a8888a28da2be30720cf7d404,15920,7960,7960,
Seoul,2022-09-08 14:05:07.666,South Korea,,Mac,Mac,renew.subscription,Korean,Chrome,104,Web,909c91154abeb617b73ce134a2ace88e,15920,15920,0,
Redmond,2022-09-08 14:05:08.763,United States,,Windows,Windows,renew.subscription,English,Chrome,103,Web,e66a5131074f4bb1df16706e1d5bfbe5,15920,15920,0,
Gwangjin-gu,2022-09-08 14:40:01.714,South Korea,,Mac,Mac,renew.subscription,Korean,Chrome,105,Web,aa3cd4bf14fd3d8f7539fd6ff9718103,15920,15920,0,
Suwon,2022-09-08 14:40:02.269,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,755150da5bcd972b987f35345c6519f2,15920,15920,0,
Seoul,2022-09-08 15:10:02.388,South Korea,,Mac,Mac,renew.subscription,English,Safari,15,Web,c0e94bfa9107c18e751866b664082c21,42960,25776,17184,
,2022-09-08 17:10:07.255,,,,,renew.subscription,,,,,c9ab50c6b8cee889c5737d96b8764d4a,15920,15920,0,
,2022-09-08 19:45:07.021,,,,,renew.subscription,,,,,35cd2e3e5d1503e19f519988bba8166c,15920,15920,0,
Seoul,2022-09-09 00:55:01.761,South Korea,,Apple iPhone,Apple iPhone,renew.subscription,Korean,Mobile Safari,15,Web,906423c955e86fb8d2f776753a4966c1,42960,42960,0,
Seoul,2022-09-09 01:11:52.245,South Korea,,Apple iPhone,Apple iPhone,renew.subscription,Korean,Mobile Safari,15,Web,b56b34718720b7177b79e666c9cc7dd4,15920,15920,0,
Dalseo-gu,2022-09-09 02:00:02.309,South Korea,,Apple iPad,Apple iPad,renew.subscription,Korean,Mobile Safari,14,Web,aa231ac134fa656a42b6bedce4f1656b,15920,15920,0,
Siheung-si,2022-09-09 05:05:01.956,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,105,Web,3db6268a69d92e75d90cb2c3ed358152,15920,15920,0,
Cheongju-si,2022-09-09 05:05:02.577,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,105,Web,9e50bb9740e9dcc09b04e952e8934504,15920,15920,0,
Seoul,2022-09-09 05:35:01.526,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,956fdbdf0c5f2ef8851befb550b0b97d,15920,7960,7960,
Fairfax,2022-09-09 06:40:01.682,United States,,Windows,Windows,renew.subscription,Korean,Chrome,103,Web,26bfbae0232ad0652be11ce35fecd760,42960,42960,0,
Ban Nong Sala,2022-09-09 06:40:02.554,Thailand,,Windows,Windows,renew.subscription,English,Chrome,104,Web,18944399f43ee0eaa500a1e12b9dcf33,42960,42960,0,
Bupyeong-gu,2022-09-09 07:10:03.009,South Korea,,Android,Android,renew.subscription,Korean,Samsung Browser,17,Web,492965fd8656a6466047bf36d33b8a24,15920,15920,0,
Seoul,2022-09-09 07:40:01.880,South Korea,,Mac,Mac,renew.subscription,Korean,Safari,15,Web,2f58d1eeffdb8e3aa1202b0f657c25cb,15920,15920,0,
Chungju,2022-09-09 07:45:14.566,South Korea,,Android,Android,renew.subscription,Korean,Chrome Mobile,105,Web,c41a8b6a11bbd9ae39d5e64fb56c8a27,15920,15920,0,
Goyang-si,2022-09-09 08:10:01.228,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,1458fbf13b0dee474f70e09db1a5cbd3,15920,15920,0,
Dalseo-gu,2022-09-09 08:10:02.099,South Korea,,Apple iPad,Apple iPad,renew.subscription,Korean,Mobile Safari,15,Web,544961029583a644a0bd8f4e29fbf79c,42960,36516,6444,
Gangdong-gu,2022-09-09 08:45:01.654,South Korea,,Mac,Mac,renew.subscription,Korean,Chrome,105,Web,24e52e9e96b72227e531226f338712c8,15920,15920,0,
Gangseo-gu,2022-09-09 09:45:01.824,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,26e3801bd49a4149b8dadfccb8c2db58,42960,42960,0,
Gimpo-si,2022-09-09 10:15:02.218,South Korea,,Android,Android,renew.subscription,Korean,Chrome WebView,90,Web,25235a118e0d5a1027a7a346a3492bb3,15920,15920,0,
Daejeon,2022-09-09 10:15:02.723,South Korea,,Windows,Windows,renew.subscription,Korean,Edge,105,Web,9f2df70ba6b618fd36b589a7235476fc,15920,15920,0,
Pyeongtaek-si,2022-09-09 10:45:02.035,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,74eb165584e007d585dad2c9b0587093,42960,42960,0,
Seoul,2022-09-09 11:20:01.814,South Korea,,Apple iPhone,Apple iPhone,renew.subscription,Korean,Mobile Safari,15,Web,63f128696d3e13daea83451ba0760ebf,15920,15920,0,
Seoul,2022-09-09 12:20:01.593,South Korea,,Mac,Mac,renew.subscription,Korean,Safari,15,Web,d0ef1443cb13cfe5db3f4ac87184aa6f,15920,15920,0,
Gwanak-gu,2022-09-09 12:50:03.040,South Korea,,Apple iPad,Apple iPad,renew.subscription,Korean,Mobile Safari,15,Web,b18edf2aa3fdfbc18ca70b667f050cd4,15920,15920,0,
Seongnam-si,2022-09-09 13:20:01.615,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,768695fdb2a30af93c9d2200b8b5b15a,42960,42960,0,
Dongjak-gu,2022-09-09 13:55:01.633,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,103,Web,f5786a5c009198f547f53959a776eb84,15920,15920,0,
Seoul,2022-09-09 13:55:02.505,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,2711357426f4f0c9601add694d8bc644,15920,15920,0,
Seoul,2022-09-09 14:25:01.440,South Korea,,Apple iPhone,Apple iPhone,renew.subscription,Korean,Mobile Safari,15,Web,32ed1d5eb0f36c65d6ce441ce7c40cb3,42960,42960,0,
Guri-si,2022-09-09 14:25:01.794,South Korea,,Windows,Windows,renew.subscription,Korean,Firefox,104,Web,9f62f55bebe49fc2cb023fb054c9900d,15920,15920,0,
Suyeong-gu,2022-09-09 14:25:02.010,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,e981a36d8407fd4cdfe789572e7b619d,15920,15920,0,
Asan,2022-09-09 14:55:01.491,South Korea,,Windows,Windows,renew.subscription,English,Chrome,104,Web,f2256719f2b24572b4a91caf7f564608,15920,15920,0,
Gaithersburg,2022-09-09 14:55:01.724,United States,,Mac,Mac,renew.subscription,Korean,Chrome,103,Web,b99fc0ec1c8eb4271bd93228ccfc0a7f,15920,15920,0,
Dongdaemun-gu,2022-09-09 14:55:02.444,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,103,Web,a2576b7da11fcec89c91b011ae7c3386,15920,15920,0,
Busan,2022-09-09 15:30:01.712,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,6abf383e862ef4d0f29b9b29182f36a5,15920,15920,0,
Seongnam-si,2022-09-09 16:30:02.608,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,84b286afe24eb6a4503f9989d2e32c2d,15920,15920,0,
Pyeongtaek-si,2022-09-09 17:30:02.823,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,235f3caaea3e31ee39a60977e43d91ca,15920,15920,0,
Yongin-si,2022-09-09 18:35:02.554,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,6fc005d9bce0368fed5e184721c7d6df,15920,7960,7960,
Yongsan-gu,2022-09-09 20:40:02.071,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,1fa57c75cb7ac3f5ea881d9d75be9aeb,15920,15920,0,
Buk-gu,2022-09-10 00:20:01.738,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,fc4705003d9be445b75fe2ecfb0eb4bd,15920,15920,0,
Songpa-gu,2022-09-10 01:20:06.734,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,103,Web,ca6f2fb81ed210a6624d03d587e4847e,15920,15920,0,
Brisbane,2022-09-10 01:50:01.522,Australia,,Apple iPhone,Apple iPhone,renew.subscription,English,Mobile Safari,14,Web,df1ebede69a2b414dc742e97e95af594,15920,15920,0,
Gwangmyeong-si,2022-09-10 01:50:06.257,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,103,Web,f6e35e68bb50e1f5f1bb2d860e45d497,15920,15920,0,
Yongin-si,2022-09-10 02:20:01.762,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,8d169c561bf3f3cee9324bf24d318096,15920,15920,0,
Sokcho,2022-09-10 02:50:01.617,South Korea,,Windows,Windows,renew.subscription,Korean,Chrome,104,Web,5f682d4ecb8526a4e6eb3aec4f8fd34f,15920,15920,0,
,2022-09-10 03:55:06.327,,,,,renew.subscription,,,,,a4e3a213c5a124cf09913ca331f44ff2,42960,42960,0,
