city,client_event_time,country,device_carrier,device_family,device_type,event_type,language,os_name,os_version,platform,user_id,plan.price,paid_amount,coupon.discount_amount,pg.type
Daejeon,2023-04-05 21:11:45.525,South Korea,,Windows,Windows,resubscribe.subscription,Korean,Edge,111.0.1661.62,Web,41362ad5ebcade2bb1b78344a53e7ccf,15920,15920,0,
Seoul,2023-06-30 09:59:56.848,South Korea,,Samsung Phone,Samsung Galaxy S22+,resubscribe.subscription,Korean,Chrome WebView,113.0.5672.162,Web,68831c27e47f0e8f04ba809baeec218e,15920,15920,0,
Nowon-gu,2023-06-13 06:20:22.524,South Korea,,Windows,Windows,resubscribe.subscription,Korean,Chrome,114.0.0.0,Web,4e7568cb7db01f8386614ec2c6c961cd,15920,15920,0,
Suwon,2023-06-11 11:02:11.878,South Korea,,Windows,Windows,resubscribe.subscription,Korean,Chrome,114.0.0.0,Web,f91f19527b9ec688e028ec884b1b5c1c,131600,131600,0,
Koishikawa,2023-06-13 14:39:25.736,Japan,,Apple iPhone,Apple iPhone,resubscribe.subscription,Japanese,Chrome,114.0.5735.99,Web,2276d7d2a31e05f4a5558c6406cc36c9,131600,131600,0,
Toronto,2023-06-15 12:01:12.785,Canada,,Apple iPhone,Apple iPhone,resubscribe.subscription,English,Mobile Safari,16.5,Web,e2652bbc8ce6ef935dc655ed9b3a1464,15920,15920,0,
Seoul,2023-04-16 07:59:10.131,South Korea,,Mac,Mac,resubscribe.subscription,English,Chrome,112.0.0.0,Web,b3d0d86a522f0e4e22579c3d3350ab22,15920,15920,0,
Yongsan-gu,2023-06-01 03:11:24.477,South Korea,,Windows,Windows,resubscribe.subscription,Korean,Chrome,113.0.0.0,Web,dfec4d0678f6d3824d6a1923b25a75de,15920,15920,0,
Seoul,2023-05-30 08:36:16.951,South Korea,,Mac,Mac,resubscribe.subscription,Korean,Chrome,112.0.0.0,Web,0b342edb20f16f8666d3df5a164de117,15920,15920,0,
Tangjin,2023-05-16 15:11:53.790,South Korea,,Mac,Mac,resubscribe.subscription,Korean,Chrome,97,Web,ca2976a5fc27e353fc1e17e21d5848ec,15920,15920,0,
Yongin-si,2023-05-14 10:04:25.573,South Korea,,Windows,Windows,resubscribe.subscription,Korean,Chrome,113.0.0.0,Web,9eaa869b8ec726ee1f4f53ceb2309e26,131600,131600,0,
Incheon,2023-04-06 17:28:38.023,South Korea,,Windows,Windows,resubscribe.subscription,Korean,Chrome,111.0.0.0,Web,293495d2301caafaaa71cdd6bdcb1797,15920,14805,1115,
Uijeongbu-si,2023-06-02 09:05:59.357,South Korea,,Mac,Mac,resubscribe.subscription,Korean,Chrome,112.0.0.0,Web,cabf31e7180db143eff75a9a0053d877,15920,15920,0,
Gangseo-gu,2023-06-17 22:06:22.248,South Korea,,Mac,Mac,resubscribe.subscription,Korean,Chrome,114.0.0.0,Web,365595cbbd4ae4a65a9b7e7f3e2ce5dd,15920,15920,0,
Gwacheon,2023-03-25 11:50:00.162,South Korea,,Windows,Windows,resubscribe.subscription,Korean,Chrome,111.0.0.0,Web,2819d9c74a4729355f14966f1e395f5d,15920,15920,0,
Seo-gu,2023-06-13 21:35:34.694,South Korea,,Windows,Windows,resubscribe.subscription,Korean,Chrome,114.0.0.0,Web,4fccf7e1c25e9af27773b52ced259c15,15920,15920,0,
Suseong-gu,2023-05-27 15:00:08.030,South Korea,,Mac,Mac,resubscribe.subscription,Korean,Chrome,108.0.0.0,Web,b1e43df2311ea051160c9fa7874b2205,15920,15920,0,
Anyang-si,2023-04-10 19:40:44.219,South Korea,,Windows,Windows,resubscribe.subscription,Korean,Edge,111.0.1661.54,Web,3d66fba0584e37ec6b6b0bc5302cd4d8,15920,15920,0,
Cheonan,2023-06-12 02:03:38.534,South Korea,,Windows,Windows,resubscribe.subscription,Korean,Whale,3.20.182.14,Web,ce609f8276f4647e47f1db80a22cc6cf,131600,131600,0,
Yangsan,2023-06-22 14:09:28.978,South Korea,,Windows,Windows,resubscribe.subscription,Korean,Chrome,114.0.0.0,Web,6abf383e862ef4d0f29b9b29182f36a5,15920,15920,0,
Suwon,2023-06-22 14:17:21.136,South Korea,,Samsung Phone,Samsung Galaxy S21 5G,resubscribe.subscription,Korean,Chrome,108.0.0.0,Web,02b5434902f6a545a8f3671aa832795a,15920,15920,0,
